"State","Year","Population","Total_crime","Violent_crime","Murder","Forcible_rape","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Prison_population","GDP","Gun_number","Police_number"
"ILLINOIS",2012,12875255,2993.5,414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5,49348,720702.3,"1,036,061",45505
"ILLINOIS",2010,12830632,3116.2,435.2,5.5,23.6,156.3,249.7,2681,587.6,1868.9,224.4,48418,694961.1,"695,300",49849
"ILLINOIS",2014,12880580,2445.9,370,5.3,56.2,118.8,213.7,2075.9,388.2,1552.2,135.5,48278,735035.6,"1,344,096",34425
"ILLINOIS",2013,12882135,2654.5,380.2,5.5,58.5,137.6,204,2274.3,452.1,1659.8,162.5,48653,724616.4,"1,280,613",14563
"INDIANA",2008,6376792,3669.6,333.8,5.1,27,118.1,183.5,3335.8,762.8,2299.2,273.7,NA,298263.8,"219,900",15877
"INDIANA",2009,6423113,3449.4,333.2,4.8,25.5,114.5,188.4,3116.2,761.5,2138.7,216.1,28808,277473.9,"273,803",16856
"INDIANA",2010,6483802,3356.9,314.5,4.5,27.2,95.9,186.9,3042.4,726.7,2113.4,202.3,28028,295133.2,"345,650",15577
"INDIANA",2011,6516922,3493.6,331.8,4.8,27,107.1,193,3161.8,775.7,2158.8,227.3,28906,296472,"359,840",15851
"INDIANA",2012,6537334,3374.9,345.7,4.7,25.5,100.9,214.6,3029.2,728.3,2092,209,28831,297552.7,"475,607",12032
"INDIANA",2017,6666818,2815.9,399,6,39.4,99,254.6,2416.9,452.1,1733.8,231,26024,322745.6,"830,357",9972
"INDIANA",2018,6691878,2561.6,382.3,6.5,35.4,88.7,251.6,2179.3,377.6,1572.7,229.1,26877,329298.8,"896,148",12513
"INDIANA",2013,6570902,3211.4,357.4,5.4,57.6,108.2,211.3,2854,653,1984.9,216.2,29913,303919.5,"597,124",9693
"INDIANA",2014,6596855,3014.7,365.3,5,57.6,104.5,222.6,2649.4,559.3,1880,210.1,29271,313740.5,"647,550",11926
"INDIANA",2015,6619680,2983.5,387.5,5.6,63.3,107.4,238.2,2596,519.8,1872,204.2,27355,311600.7,"1,076,917",10717
"INDIANA",2016,6633053,2994.1,404.7,6.6,65.6,110.5,249.9,2589.4,514,1853.3,222.1,25546,316635.9,"1,436,725",8154
"IOWA",2008,3002555,2704.7,283.8,2.5,29.6,41.6,210.1,2420.9,547.9,1728.8,144.3,NA,149131.9,"108,330",8031
"IOWA",2009,3007856,2587.9,279.2,1.1,28.4,39.7,210,2308.7,539.4,1640,129.3,8813,145618.3,"120,233",8057
"IOWA",2010,3046355,2516,273.5,1.3,27.4,33.2,211.6,2242.5,546.8,1571.8,124,9455,149535.6,"124,738",8085
"IOWA",2011,3062309,2585.9,255.6,1.5,27.2,26.9,199.9,2330.3,568.2,1633.6,128.5,9116,151247.9,"179,944",7573
"IOWA",2012,3074186,2535.7,263.9,1.5,28.3,31.3,202.8,2271.8,556.1,1584.8,130.9,8733,157250.8,"147,700",7375
"IOWA",2015,3123899,2333.4,286.1,2.3,64.2,33.5,213.2,2047.3,476.7,1431.6,139,8849,169375,"147,309",8025
"IOWA",2016,3134693,2376.6,290.6,2.3,69.2,36.6,212,2086,479.5,1447.6,159,9031,168876.4,"202,277",7160
"IOWA",2017,3145711,2418.7,293.4,3.3,39.2,39.8,211,2125.3,479.3,1468.6,177.4,9024,168434.5,"160,981",8160
"IOWA",2013,3090416,2465.3,271.4,1.4,59.5,30.4,204.6,2193.9,513.5,1543,137.4,8697,156636.6,"160,062",7747
"IOWA",2014,3107126,2367.3,273.5,1.9,62.9,33.6,201.6,2093.8,464.4,1495.8,133.6,8838,165088.1,"127,022",7782
"IOWA",2018,3156145,1941.6,250.1,1.7,30.9,29.5,187.9,1691.5,352.6,1190.4,148.5,9419,172072,"189,159",7530
"KANSAS",2008,2802134,3787.8,410.6,4,42.5,60.1,304,3377.2,699.9,2413.4,263.9,NA,138657.9,"126,084",10284
"KANSAS",2009,2818747,3607.9,400.1,4.2,38.9,63.4,293.6,3207.8,690.7,2305.9,211.2,8641,133276.7,"142,984",10227
"KANSAS",2010,2853118,3489,369.1,3.5,38.8,54.1,272.7,3119.9,680.1,2229.2,210.6,9051,134944.6,"144,156",10565
"KANSAS",2011,2871238,3434,353.9,3.8,37.8,50.8,261.5,3080.1,654.4,2193.2,232.5,9327,138562.6,"164,898",10058
"KANSAS",2012,2885905,3497.8,354.6,2.9,36.5,52,263.2,3143.2,650.3,2258,234.9,9682,140477.8,"210,972",9675
"KANSAS",2016,2907289,3075.9,380.4,3.8,78.5,57.5,274,2695.5,494.1,1962.9,238.6,9920,149927.9,"196,548",9620
"KANSAS",2018,2911505,3072.9,439,3.9,53.8,53,328.3,2633.9,430.6,1933.9,269.4,10218,154582.7,"172,047",8992
"KANSAS",2015,2911641,3110,389.9,4.4,98.5,62.4,267.6,2720.1,527.6,1953.5,238.9,9857,146173.1,"185,859",8831
"KANSAS",2017,2913123,3213.9,413,5.5,55.9,61.3,290.3,2800.9,478.2,2053.3,269.3,9971,151465.7,"191,451",9613
"KANSAS",2014,2904021,3083.8,348.6,3.1,85.6,46.9,250,2735.2,545,1952.4,237.8,9877,143425.4,"172,167",10249
"KANSAS",2013,2893957,3286.7,339.9,3.9,70.2,46.6,248.1,2946.8,600.4,2117,229.5,9763,140505.6,"228,105",9249
"KENTUCKY",2008,4269245,2880.1,296.2,4.6,33,93.8,164.8,2583.9,675.5,1728.8,179.6,NA,172150.8,"1,881,101",10188
"KENTUCKY",2010,4339367,2793.9,242.6,4.3,31.8,86.4,120.1,2551.3,698.5,1709.7,143.1,20544,172044.7,"2,385,579",10104
"KENTUCKY",2011,4369356,2947,238.2,3.5,33.5,84.5,116.7,2708.8,745,1811.1,152.7,21545,174136,"2,280,832",9063
"KENTUCKY",2012,4380415,2775.5,222.6,4.5,29,80.7,108.4,2552.9,675.4,1725.2,152.2,22110,176302.3,"2,589,358",9728
"KENTUCKY",2015,4425092,2396.3,218.7,4.7,56.2,74.7,105.5,2177.6,503,1498.7,175.9,21701,181323.1,"3,218,371",7730
"KENTUCKY",2016,4436974,2422,232.3,5.9,63.5,75.9,113.5,2189.7,469.6,1497.4,222.8,23022,182618.6,"3,676,847",3374
"KENTUCKY",2017,4454189,2354.9,225.8,5.9,37.3,66.4,116.2,2129.1,453.4,1445.7,230,23543,184540.9,"4,641,480",9811
"KENTUCKY",2018,4468402,2174.5,211.9,5.5,38.2,55,113.2,1962.6,384.7,1348.2,229.6,23431,187215.5,"4,912,441",9588
"KENTUCKY",2009,4314113,2771.4,258.7,4.1,35,84.1,135.4,2512.7,688.5,1683.3,140.9,21638,165014.9,"2,189,578",10483
"KENTUCKY",2014,4413457,2458.5,211.6,3.6,52.6,75.6,99.8,2246.9,526.7,1577.1,143.2,21657,179989.2,"2,492,184",9315
"KENTUCKY",2013,4395295,2572.7,209.8,3.8,62.3,73.9,95.5,2362.9,596.4,1629.3,137.2,21030,179390,"1,578,331",9120
"LOUISIANA",2008,4410796,4479.3,656.2,11.9,27.9,135.9,480.4,3823.1,982.1,2529.4,311.6,NA,235276.2,"248,355",22621
"LOUISIANA",2009,4492076,4414.6,620,11.8,30.3,135.9,442,3794.6,1029.5,2504.3,260.8,39780,238666.1,"247,084",15453
"LOUISIANA",2010,4533372,4196.5,549,11.2,27.2,114.9,395.6,3647.5,1002.2,2427.1,218.2,39445,247350.9,"239,204",18493
"LOUISIANA",2011,4574836,4243.8,555.3,11.2,27.7,114.5,401.9,3688.5,1012.5,2476.6,199.4,39710,234062.7,"264,552",20593
"LOUISIANA",2012,4601893,4037.5,496.9,10.8,25.2,119,342,3540.6,915.7,2453.7,171.3,40172,233623.1,"326,290",19364
"LOUISIANA",2018,4659978,3813.5,537.5,11.4,44.7,98,383.4,3276,668.1,2360.4,247.6,32397,237372.2,"307,192",18554
"LOUISIANA",2015,4670724,3893.1,539.7,10.3,63.9,118.8,373.7,3353.4,759,2385.8,208.6,36377,232457.6,"372,613",13245
"LOUISIANA",2016,4681666,3863.8,566.1,11.8,67.2,119.1,396.4,3297.7,740.5,2336.3,220.8,35682,228252.5,"391,869",13088
"LOUISIANA",2017,4684333,3923.8,557,12.4,39.9,114.4,390.3,3366.8,731.5,2401.3,234,33739,231373.1,"329,201",20049
"LOUISIANA",2014,4649676,3973.5,514.7,10.3,50.9,122.5,352.4,3458.8,824.5,2421.6,212.7,38030,233675.8,"315,357",13567
"LOUISIANA",2013,4625470,4100.5,518.5,10.8,61.9,119.9,352.8,3582,890.4,2493.6,198,39299,226615.9,"353,025",10987
"MAINE",2008,1316456,2569.9,117.5,2.4,28.5,25.3,61.4,2452.4,495.4,1867.7,89.3,NA,53921,"56,561",2961
"MAINE",2009,1318301,2523.3,119.8,2,28.5,30.3,59,2403.5,510.4,1815.7,77.4,2206,53063.6,"60,955",2859
"MAINE",2011,1328188,2668.7,123.2,2,29.6,27.8,63.8,2545.5,591.3,1873,81.2,2145,53087.8,"73,127",2819
"MAINE",2010,1328361,2601.3,122,1.8,29.3,31.2,59.8,2479.3,554,1850.8,74.5,2154,53776.2,"65,988",2839
"MAINE",2012,1329192,2632.6,122.7,1.9,28,31.8,61,2509.9,561.3,1873.7,74.9,2108,52874,"91,834",2826
"MAINE",2016,1331479,1769.5,123.8,1.5,53.4,20,71.3,1645.7,300.6,1286.8,58.2,2404,54971,"111,582",3846
