State,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft,Year,Prison_population,GDP,Gun_number,Police_number
ILLINOIS,12802023,438.8,7.8,43.4,137.2,250.4,2011.4,339.5,1508.8,163.1,2017,41471,753638,"1,601,087",35332
ILLINOIS,12859995,383.8,5.8,65.1,115.9,224.6,1988.6,361.1,1490.2,137.3,2015,46240,744517.8,"1,247,398",22642
ILLINOIS,12869257,429.3,5.6,28.8,157.4,237.5,2688.8,604.1,1861.1,223.5,2011,48427,707059.5,"828,962",46335
ILLINOIS,12875255,414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5,2012,49348,720702.3,"1,036,061",45505
MONTANA,998199,267.5,2.8,35.8,16.9,212,2319.7,339.6,1834,146.1,2011,3678,41473.1,"108,974",3022
OREGON,3612440,116.6524565,1.993112688,6.782119565,28.01430612,79.86291814,667.8311612,67.73814928,563.3034736,30.5333791,2009,14403,166653.2,"185,043",10230
OREGON,3649695,132.7234194,2.602957233,7.562275752,32.52326564,90.03492073,745.3225544,77.15713231,618.9558306,39.78414635,2008,NA,173955.1,"179,887",9965
OREGON,3707053,100.2143751,1.780389976,3.938438431,20.69028956,73.80525717,524.8373843,43.64653001,436.7350561,38.81789659,2016,15166,200948.2,"324,708",1449
OREGON,3871859,247.6,2.1,31.4,57.4,156.6,3114.6,528.1,2352.8,233.7,2011,14510,173883.1,"209,781",10057
OREGON,3899353,247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7,2012,14840,174493.1,"267,041",9918
OREGON,4142776,281.8,2.5,48.3,58.7,172.3,2986.5,427.4,2145.3,413.7,2017,15218,208625.8,"341,167",10729
OREGON,4190713,285.5,2,47.1,60.8,175.6,2894,389.1,2109.9,395.1,2018,15268,216561.5,"359,682",10664
PUERTO RICO,3195153,200.8,20,6.2,71.1,103.6,777.8,171.7,490.1,116,2018,NA,NA,"29,275",NA
PUERTO RICO,3337177,232.6,20.3,6.3,91.5,114.4,934.2,238.2,588.3,107.7,2017,NA,NA,"18,811",NA
PUERTO RICO,3548397,236.2,19.2,2.8,145.7,69.7,1285.7,339.2,815.8,130.7,2014,NA,NA,"16,118",NA
PUERTO RICO,3615086,258,24.4,1.6,166.4,66.3,1351.3,386.2,812.2,153,2013,NA,NA,"16,968",NA
PUERTO RICO,3667084,273.8,26.7,0.9,171.7,74.5,1409.3,416.9,833,159.4,2012,NA,NA,"15,545",NA
PUERTO RICO,3706690,284.4,30.6,1.2,174.4,78.1,1395.2,447.6,789.7,157.9,2011,NA,NA,"11,525",NA
MINNESOTA,5379139,230.9,1.8,30.5,64.6,134,2568.3,471.8,1939.3,157.2,2012,9938,294296.6,"440,992",13476
NEW YORK,19570261,406.8,3.5,14.6,146.4,242.3,1922,329.9,1503.5,88.6,2012,54210,1322447.9,"338,619",79358
ALABAMA,4833722,430.8,7.2,71.8,96.2,285.2,3351.3,877.8,2254.8,218.7,2013,32381,188165.1,"563,880",14173
ALABAMA,4849377,427.4,5.7,70.9,96.9,283.4,3177.6,819,2149.5,209.1,2014,31771,186849,"621,305",11455
ALASKA,735132,640.4,4.6,213,84.9,425.5,2885.2,396.7,2258,230.6,2013,5081,54750,"93,405",1937
ALASKA,736732,635.8,5.6,180,85.4,440.2,2760,427.6,2096.4,236,2014,5794,53273,"87,623",1938
ARIZONA,6626624,416.5,5.4,81.4,101.1,263.9,3399.1,732.4,2403.5,263.2,2013,41104,270148.9,"363,036",21192
ARKANSAS,2959373,460.3,5.4,81.7,76.3,330.5,3602.6,1030.1,2380.6,191.9,2013,17235,111778.9,"279,736",9250
ARKANSAS,2966369,480.1,5.6,99.2,69.1,346,3338,835.7,2313.5,188.8,2014,17874,112932.1,"234,282",9380
COLORADO,5268367,308,3.4,94.6,59.8,189.1,2658.5,476.1,1944.5,237.9,2013,20371,282533.9,"514,658",17441
COLORADO,5355866,309.1,2.8,96.3,56.7,192.8,2530.1,438.2,1857.1,234.8,2014,20646,295698.6,"413,284",15009
CONNECTICUT,3596080,262.5,2.4,45.2,98.2,135.4,1974.1,358.5,1442.6,173,2013,17563,241081.2,"294,338",10349
DELAWARE,925749,491.4,4.2,69.7,132.4,313.7,3065.5,662.3,2259.4,143.9,2013,7004,59157.1,"40,062",3168
DELAWARE,935614,489.1,5.8,67.9,135.6,306.4,2982,616.5,2230.1,135.4,2014,6955,63499.5,"42,950",3243
DISTRICT OF COLUMBIA,646449,1300.3,15.9,103.8,630.8,592.5,4808.3,513,3795,500.3,2013,NA,112677.9,497,5065
FLORIDA,19552860,470.4,5,58.7,118.7,312.3,3105.3,710.5,2216.3,178.6,2013,103028,784090.1,"1,073,859",67816
FLORIDA,19893297,540.5,5.8,73.4,125.2,366.4,3415.5,719.9,2481.5,214,2014,102870,805278,"1,034,546",60714
IDAHO,1612136,217,1.7,68.9,13.6,161,1864.3,411.9,1357.1,95.3,2013,7549,59830.6,"147,494",4272
IDAHO,1634464,212.2,2,65.9,12.5,160.5,1854.8,393.3,1359.9,101.6,2014,8117,61394.5,"131,742",4265
ILLINOIS,12882135,380.2,5.5,58.5,137.6,204,2274.3,452.1,1659.8,162.5,2013,48653,724616.4,"1,280,613",14563
INDIANA,6570902,357.4,5.4,57.6,108.2,211.3,2854,653,1984.9,216.2,2013,29913,303919.5,"597,124",9693
INDIANA,6596855,365.3,5,57.6,104.5,222.6,2649.4,559.3,1880,210.1,2014,29271,313740.5,"647,550",11926
IOWA,3090416,271.4,1.4,59.5,30.4,204.6,2193.9,513.5,1543,137.4,2013,8697,156636.6,"160,062",7747
IOWA,3107126,273.5,1.9,62.9,33.6,201.6,2093.8,464.4,1495.8,133.6,2014,8838,165088.1,"127,022",7782
IOWA,3156145,250.1,1.7,30.9,29.5,187.9,1691.5,352.6,1190.4,148.5,2018,9419,172072,"189,159",7530
