State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
,Total all ages,"35,973","1,817","6,700",55,33,598,"1,131","1,220","5,268",150,62,"2,552",573,260,5,652,467,611,539,21,"7,952",11,589,"2,363",97,"3,487",694,383,"6,169",0,8,23,,
LOUISIANA,Under 18,"19,068","1,666","4,319",15,35,264,"1,352","1,036","3,045",207,31,"2,722",6,40,7,231,651,321,4,122,"1,600",11,135,69,292,31,"2,820",9,"3,041",28,493,450,104,"2,471,978"
,Total all ages,"140,519","9,236","19,742",183,238,"1,035","7,780","3,840","14,812",920,170,"15,893",528,"1,794",300,"1,328","2,744","1,748",412,596,"17,959",83,"1,186","7,977","6,845","2,970","12,180",355,"35,613",87,493,450,,
MAINE,Under 18,"6,990",86,"2,125",0,10,24,52,372,"1,632",93,28,907,12,22,3,39,444,46,0,51,561,1,1,95,"1,084",9,201,0,"1,137",0,64,102,164,"1,314,189"
,Total all ages,"57,060",735,"8,325",8,72,184,471,"1,352","6,580",330,63,"6,849",311,886,51,189,"1,492",356,26,275,"5,778",4,93,"7,270","4,782",43,"1,886",2,"17,541",0,64,102,,
MARYLAND,Under 18,"47,175","3,657","12,463",31,52,"1,947","1,627","2,318","8,415","1,405",325,"7,500",41,78,43,31,"2,015","1,357",12,292,"7,648",43,38,214,"1,202",8,"2,171",52,"7,359",78,236,637,154,"5,574,256"
,Total all ages,"300,165","13,001","38,147",307,404,"4,443","7,847","7,411","26,879","3,292",565,"29,510","1,093","2,368",433,241,"4,215","4,328","1,337","1,343","57,288",283,"2,220","23,714","6,820",12,"7,431",160,"104,757",591,236,637,,
MASSACHUSETTS,Under 18,"17,974","1,964","3,411",8,31,529,"1,396",761,"2,469",131,50,"2,517",22,48,6,224,906,265,6,87,"2,115",0,103,101,775,204,"1,375",0,"3,538",1,13,293,315,"5,819,911"
,Total all ages,"149,582","12,474","18,471",77,310,"2,065","10,022","3,725","13,906",707,133,"21,337",623,"1,518",155,"1,337","3,448","1,405","1,229",696,"19,825",35,"1,295","12,941","4,214","6,021","8,337",19,"33,868",28,13,293,,
MICHIGAN,Under 18,"36,027","2,187","10,382",12,114,772,"1,289","1,729","7,676",845,132,"3,685",38,433,42,415,"1,175",824,16,237,"3,278",17,11,482,"4,033",6,"1,384",0,"5,380",0,802,"1,200",485,"8,664,761"
,Total all ages,"276,904","12,398","35,166",142,578,"2,488","9,190","6,251","25,696","2,919",300,"26,868",915,"5,800","1,176","1,851","3,569","4,617",761,962,"31,775",136,"2,610","35,534","20,242",343,"9,247",254,"80,678",0,802,"1,200",,
MINNESOTA7,Under 18,"45,954","1,135","10,262",12,13,402,708,972,"8,824",368,98,"3,669",71,199,10,393,"1,879",787,45,302,"2,785",4,37,530,"6,359",0,"4,356",14,"5,756",0,"3,882","3,479",321,"5,074,064"
,Total all ages,"204,367","5,612","29,245",111,106,"1,286","4,109","3,388","24,188","1,479",190,"18,243","1,605","3,481",39,"1,692","4,634","2,269","1,338","1,524","18,196",14,856,"29,832","27,458",0,"14,227",360,"36,381",0,"3,882","3,479",,
